KAZ,AKM,AKT,ALM,ATY,ZAP,ZHA,KAR,KUS,KZY,MAN,PAV,SEV,YUZ,VOS,NQZ,ALA,CIT,YEAR
29 380 342,791 162,1 856 761,1 009 815,7 888 134,2 392 109,476 971,2 620 992,1 206 983,852 147,2 908 789,1 988 958,263 576,504 954,2 153 903,884 345,1 001 188,579 555,2019
27 218 063,659 726,1 865 976,892 772,7 077 540,2 480 525,421 146,2 519 790,883 375,941 395,2 892 269,1 984 949,243 039,438 644,1 860 099,646 674,917 884,492 260,2018
22 790 209,561 290,1 597 086,795 684,5 508 219,1 914 501,374 029,2 318 440,764 326,731 408,2 316 201,832 114,1 778 386,240 530,1 581 530,573 927,902 537,0,2017
19 026 781,455 615,1 291 055,681 865,4 495 487,1 566 960,341 338,1 947 682,599 428,669 201,1 887 569,789 050,1 370 386,198 032,1 506 589,454 412,772 114,0,2016
14 925 230,335 402,1 014 433,561 874,3 442 882,1 302 068,283 950,1 416 672,443 082,600 757,1 568 683,670 407,1 044 224,166 904,1 021 779,389 132,662 981,0,2015
18 531 774,312 106,1 243 377,553 495,4 915 039,1 839 822,279 345,1 443 970,544 413,994 991,2 330 149,604 001,1 110 598,161 201,1 115 635,344 684,738 948,0,2014
17 833 994,291 655,1 285 682,588 507,4 614 217,1 659 662,233 946,1 324 735,530 474,1 164 136,2 187 307,552 558,1 334 756,150 398,998 701,276 217,641 043,0,2013
16 851 775,270 882,1 316 171,516 492,4 194 587,1 638 474,206 848,1 336 115,502 029,1 109 337,2 170 796,496 768,1 202 392,125 889,965 715,214 690,584 591,0,2012
15 929 052,236 417,1 253 915,444 202,4 319 754,1 480 716,185 715,1 325 357,563 976,1 063 126,2 064 855,377 180,964 739,116 097,822 907,177 360,532 735,0,2011
12 105 526,179 894,962 019,366 842,3 119 542,990 134,119 570,1 032 065,450 895,809 648,1 647 368,316 358,843 970,85 111,641 267,111 304,429 539,0,2010
9 121 525,127 787,695 232,303 176,2 171 653,825 144,115 612,808 871,307 915,625 019,1 311 855,255 827,550 941,78 110,492 079,98 849,353 453,0,2009
10 196 233,136 763,878 970,301 676,2 153 047,469 466,150 205,959 852,946 495,339 597,845 879,1 533 230,714 344,71 142,209 616,111 056,374 893,0,2008